datasetID,study,Entered.By,fixresponse,getlatlong,getyear,getfieldsampledate
bernier81,exp1,TS,x,x,x,
boyer,exp1,TS,,,,
caffarra11a,exp1,TS,,,x,
caffarra11b,exp2,TS,,,x,
campbell75,exp1,EW,,,x,
charrier11,exp1,TS,,x,x,
cook05,exp1,TS,,,x,
devries82,exp1,TS,,,x,
ellis97,,DF,,x,x,
falusi03,exp1,TS,,,x,
falusi90,exp1,TS,,,x,
falusi96,exp1,TS,,,x,
gutterman88,exp1,DF,,,x,
Heide03,exp1,TS,,,x,
heide05,exp1,TS,,,x,
heide07,exp1,TS,x,x,,
heide11,exp1,TS,,,x,
jones12,exp1,TS,,x,,
junttila12,exp1,EF,x,,,
karlsson03,exp1,,,,x,
laube14a,exp1,TS,,,x,
lyndon77,exp1,DF,,x,x,
manson91,exp1,EF,,x,,
morin10,exp1,EF,,,,x
myking95,exp1,TS,,,x,
okie11,exp1,EMW,,,,x
pagter15,exp1,JAS,,,,x
pettersen71,exp1,,x,,x,
ruesink98,exp2,AE,x,,,
runger81,exp1,DF,,x,x,
sanzperez10,exp1,AE,,x,,
schnabel87,exp1,AE,,x,,
sogaard08,exp1a,AE,,x,,
spiers74,exp1,TS,x,,,
takimoto64,,TS,,x,x,
thielges75,exp1,AE,,x,x,
viheraaarnio06,exp1,TS,,,x,
worrall67,exp 3,TS,,,x,
