datasetID,study,material,figure.table..if.applicable.,response.time,who,responsetime.okay,ifno.fixed
ashby62,exp2,plants,table 4,60.49166667,EMW,Y,
basler12,exp1,cuttings,fig3,61.53714286,EMW,Y,
basler14,exp1,cuttings,fig 4,82.67666667,EMW,Y,
boyer,exp1,seedlings,table 2,25.67241379,EMW,Y,
caffarra11a,exp3,cuttings,fig 1,61.23,EMW,Y,
caffarra11b,exp3,clones,fig 2,25.53125,EMW,Y_butnotedormancy,
calme94,exp1,plants,fig 5,18.27826087,EMW,Y,
campbell75,exp3,seedlings,fig5,48.51521231,EMW,Y,
campbell75,exp1,seedlings,table1,52.03125,EMW,Y_butshouldbeTable2,
falusi97,exp1,seedlings,fig1,23,EMW,check,
fu13,exp1,seedlings,fig2,98.29337931,EMW,N_isDOY,
gomory15,exp1,seedlings,fig1,130.5352766,IMC,check if data comes from panels c-d,
gomory15,exp1,seedlings,fig2,118.353525,IMC,check if data comes from panels c-d,
guak98,exp1,seedlings,fig 5,54.44444444,IMC,N_isDOY,
guak98,exp1,seedlings,fig5,56.76659091,IMC,N_isDOY,
guerriero90,exp2,plants,fig 2,19.38233333,AKE,Y,
guerriero90,exp3,plants,fig 2,20.34966667,AKE,Y,
gunderson12,exp1,seedlings,fig2a,109.8529167,AKE,N_isDOY,
hawkins12,,sapling,,101.2106204,AKE,N_isDOY,
Heide03,exp1,seedlings,fig 1,19.97787879,AKE,Y,
junttila12,exp1,seedlings,fig2,60,AKE,Y,
li05,exp1,seedlings,,39.55,AKE,Y,
man10,exp1,seedlings,fig2,32.03658537,AKE,N_isDaysInThermalTreatment,
myking95,exp1,seedlings,fig 2,20.12375887,AKE,Y,
myking95,exp1,seedlings,fig 4,20.00520833,AKE,Y,
myking97,exp1,seedlings,fig1,9.071666667,AKE,Y,
nienstaedt66,exp1,plants,table 2,23.9047619,AKE,Y,
pagter15,exp1,potted sapling,2A,69.8265,AKE,Y,
pagter15,exp1,potted sapling,2B,49.007,AKE,Y,
pagter15,exp1,potted sapling,2C,29.02377778,AKE,Y,
pagter15,exp1,potted sapling,2D,20.57436364,AKE,Y,
partanen01,exp1,2-year old potted seedling,Table 1,23,CC,Y,
partanen01,exp1,7-month old potted seedling,Table 1,21.66666667,CC,Y,
partanen01,exp1,9-month old potted seedling,Table 1,23,CC,Y,
partanen01,exp1,potted cuttings from 14-year old tree,Table 1,23.66666667,CC,Y,
partanen05,exp1,cuttings from 15 year old trees,Figure2a,187.92025,CC,N_isTransferDate,Y
partanen05,exp1,cuttings from 15 year old trees,Figure2b,167.9805,CC,N_isTransferDate,Y
partanen05,exp1,cuttings from 15 year old trees,Figure2c,176.95875,CC,N_isTransferDate,Y
partanen05,exp1,cuttings from 15 year old trees,Figure2d,156.7198,CC,N_isTransferDate,Y
partanen05,exp2,cuttings from 54 year old trees,Figure3,247.066,CC,N_isTransferDate,Y
partanen98,exp1,potted sapling,Table 1,83.25,CC,Y,
partanen98,exp2,potted sapling,Table 2,80.75,CC,Y,
partanen98,exp3,potted sapling,Table 3,71.95652174,CC,Y,
ramos99,exp1,"cuttings, reproductive buds, non-bearing tree",Figure1A,124.2884286,CC,N_isTransferDate,Y
ramos99,exp1,"cuttings, vegetative buds, bearing tree",Figure1B,120.9705,CC,N_isTransferDate,Y
ramos99,exp1,"cuttings, reproductive buds, non-bearing tree",Figure1C,131.79625,CC,N_isTransferDate,Y
ramos99,exp1,"cuttings, vegetative buds, non-bearing tree",Figure1C,114.335,CC,N_isTransferDate,Y
ramos99,exp1,"cuttings, vegetative buds, bearing tree",Figure1D,112.6704,CC,N_isTransferDate,Y
ramos99,exp1,"cuttings, reproductive buds, non-bearing tree",Figure1E,142.213,CC,N_isTransferDate,Y
ramos99,exp1,"cuttings, vegetative buds, non-bearing tree",Figure1E,107.1655,CC,N_isTransferDate,Y
ramos99,exp1,"cuttings, vegetative buds, bearing tree",Figure1F,112.8413333,CC,N_isTransferDate,Y
rinne94,exp1,seedlings,Figure2A,31.24353333,DB,Y,
rinne94,exp1,coppiced seedlings,Figure2B,28.9835,DB,Y,
Sanz-Perez09,exp1,seedlings,fig 1,135.5119048,DB,N_isDOY,
sanzperez10,exp1,seedlings,fig5,148.2782632,DB,N_isDOY,
schnabel87,exp1,cuttings,fig7,99.50925,DB,Y,
skre08,exp1,seedling,Fig 8,90.615,DB,N_isDOY,
sogaard08,exp1b,seedlings (1 yr old),fig1,9.293916667,DB,Y,
sogaard08,exp2,seedlings (1 yr old),fig2b,109.074,DB,Y,
sogaard08,exp2,seedlings (1 yr old),fig2c,21.95333333,DB,Y,
sonsteby14,exp4,plants,table 3,7.151851852,DB,Y,
sonsteby14,exp5,plants,table 4,7.333333333,DB,Y,
spann04,exp1,seedlings (1 yr old),fig1,38.5,DB,Y(converted_from_weeks),
spiers74,exp1,plants,table 1,73.42857143,DB,Y,
spiers74,exp1,plants,table 2,75,DB,Y,
spiers74,exp2,plants,table 3,57.75,DB,Y,
swartz81,exp1,plants,fig 1,15.43492063,DB,Y(in_GDH),
webb78,exp1,seedlings,fig 1,23.21052632,DB,Y,
webb78,exp2,seedlings,fig 1,27.5,DB,Y,
worrall67,exp 3,seedlings,fig 4,37.58833333,IMC,Y,
worrall67,exp 3,seedlings,fig 5,36.36444444,IMC,Y,
worrall67,exp 4,seedlings,fig 7,31.5,IMC,Y,
zohner16,Exp1,cuttings,,78.5602367,DB,Y_isGDD,
