"warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
0,7.39530534886001,4.32901770818177,8.885625,19.474711951952,18.8199218364556,18.1651317209592,17.5103416054628,16.8555514899665,16.2007613744701,15.5459712589737,14.8911811434774,46.7167,15.7667
1,8.39530534886001,5.32901770818178,9.26104166666667,19.0053982665393,18.3506081510429,17.6958180355466,17.0410279200502,16.3862378045538,15.7314476890574,15.0766575735611,14.4218674580647,46.7167,15.7667
2,9.39530534886001,6.35528771933168,9.59239583333333,18.5911677356576,17.9363776201612,17.2815875046649,16.6267973891685,15.9720072736721,15.3172171581757,14.6624270426794,14.007636927183,46.7167,15.7667
3,10.39530534886,7.37665935016175,9.665625,18.499622918553,17.8448328030566,17.1900426875602,16.5352525720639,15.8804624565675,15.2256723410711,14.5708822255747,13.9160921100784,46.7167,15.7667
4,11.39530534886,8.4199106129621,9.52635416666667,18.6737273573423,18.0189372418459,17.3641471263496,16.7093570108532,16.0545668953568,15.3997767798604,14.7449866643641,14.0901965488677,46.7167,15.7667
5,12.39530534886,9.42336891831486,9.26191666666667,19.0043044166621,18.3495143011657,17.6947241856694,17.039934070173,16.3851439546766,15.7303538391802,15.0755637236839,14.4207736081875,46.7167,15.7667
6,13.39530534886,10.4428792596569,8.88461805555556,19.4759707474456,18.8211806319492,18.1663905164528,17.5116004009565,16.8568102854601,16.2020201699637,15.5472300544673,14.892439938971,46.7167,15.7667
7,14.39530534886,11.4370308437147,8.35672619047619,20.1358958352141,19.4811057197177,18.8263156042213,18.171525488725,17.5167353732286,16.8619452577322,16.2071551422358,15.5523650267395,46.7167,15.7667
0,4.78666159196655,2.06865353246692,7.88666666666667,22.4368768451411,21.7820867296447,21.1272966141483,20.4725064986519,19.8177163831556,19.1629262676592,18.5081361521628,17.8533460366664,46.7333,15.1167
1,5.78666159196655,3.06865353246692,8.65125,21.4810604048167,20.8262702893204,20.171480173824,19.5166900583276,18.8618999428312,18.2071098273349,17.5523197118385,16.8975295963421,46.7333,15.1167
2,6.78666159196655,4.07695896068504,9.20104166666667,20.7937580653029,20.1389679498065,19.4841778343101,18.8293877188137,18.1745976033174,17.519807487821,16.8650173723246,16.2102272568283,46.7333,15.1167
