"parameter","utah.est","utah.ci","cp.est","cp.ci","allsp.est","allsp.ci"
"mu_a_sp","29.92","26.41-33.37","30.77","27-34.46","30.86","28.61-33.17"
"mu_b_force_sp","-4.37","-6.7--2.12","-4.83","-7.12--2.46","-6.15","-8.56--3.72"
"mu_b_photo_sp","-3.13","-5.63--0.77","-3.17","-5.51--0.95","-1.03","-2.31-0.2"
"mu_b_chill_sp","-8.87","-12.06--5.77","-8.16","-11.19--5.16","-8.04","-9.65--6.42"
"sigma_a_sp","9.41","7.21-12.2","10.14","7.8-13.19","14.42","12.67-16.42"
"sigma_b_force_sp","5.68","4.01-7.77","6.04","4.33-8.27","8.51","6.53-10.88"
"sigma_b_photo_sp","5.22","3.36-7.85","4.46","2.92-6.62","3.69","2.83-4.67"
"sigma_b_chill_sp","7.38","5.27-10.1","7.88","5.67-10.59","6.27","4.8-7.85"
"sigma_y","15.77","15.24-16.32","15.47","14.93-16.02","14.93","14.55-15.32"
"n_sp","39","","39","","205",""
