round,datasetID,team,set2,other.figs.toenter,alldata.entered,dataconverts.correctly,location,respvar,sampling_yr,other.notes,extranotes.bycjc
1,richardson18,CC and DS,NA,NA,yes,no,Minnesota,days to budburst,2016,ambient forcing and chilling but no field sample date so data lost in climate data conversion,no field sample date because in outdoor chambers
1,flynn18,FJ and DB,NA,no,yes,yes,"Harvard (HF, 42.5ÎçN, 72.2ÎçW) and Quebec (SH, 45.9ÎçN, 74.0ÎçW)",days to budburst and leafout ,2015,,
1,fu19,GL and IMC,NA,no,yes,yes,,,,"there are redundant rows without meaningful data in ospree (respvar=NA): 15521, 15528, 15535, 15542",
1,fu18,DL and MG and AK,NA,no,yes,no,Belgium,"daystoleafout, days to senescence",2016,"will need to pull climate data to calculate forcing, chilling, and photoperiod (all ambient plus XXC)",missing provenance.lat and provenance.long so cannot pull climate data or photoperiod
1,man17,CC and DS,NA,NA,yes,yes,Ontario,days to budburst,2014,not able to include. Response variable is cumulative chilling,
1,malyshev18,FJ and DB,NA,no,no,yes,Germany ,Days (from dec 1st) to budburst ,2014,We need to enter teh different chilling treatment levels ,
1,anzanello16,GL and IMC,NA,no,yes,yes,,,,figure 5 has been transcripted as figure 10 in the dataset (not sure why),
1,anzanello18,DL and MG and AK,NA,no,yes,no,Brazil,max (%) budburst,2010,chilling entered incorrectly - not calculating to Utah Chill Units. Only 1 out of 10 replicates in bb datasheet. ,
1,nanninga17,CC and DS,NA,NA,yes,no,Minnesota,days to budburst,2012,missing data from experiment 1. Something is happening with chilling code. This needs to be fixed. ,chilling code is incorrectly pulling year...
1,ramos17,FJ and DB,NA,na,na,na,,,,this data gets lost during the chilling cleaning ,this should work... May have to update after getting year column filled in
1,prevey18,GL and IMC,NA,yes?,yes,yes,,,,data from Fig. 2A perc.budburst vs. DOY could perhaps be scraped,
1,vitra17,DL and MG and AK,,no,yes,no,"Switzerland (47.47N, 7.5E)",Thermal time to budburst,2014,need to calculate chilling and photoperiod from ambient,chilltemp column missing data. Chilling code won't work until that is fixed
2,richardson18,DL and DB and IMC,MG and FJ and AKE ,,,,,,,,
2,flynn18,MG and FJ and AKE ,CC and DS and GL,,,,,,,,
2,fu19,CC and DS and GL,DL and DB and IMC,,,,,,,Missing chilling data,
2,fu18,DL and DB and IMC,MG and FJ and AKE ,,,,,,,,
2,man17,MG and FJ and AKE ,CC and DS and GL,,,,,,,,
2,malyshev18,DL and DB and IMC,MG and FJ and AKE ,,,,,,,,
2,anzanello16,MG and FJ and AKE ,CC and DS and GL,,,,,,,,
2,anzanello18,CC and DS and GL,DL and DB and IMC,,,,,,,crops so not included in main model,
2,nanninga17,CC and DS and GL,DL and DB and IMC,,,,,,,,
2,ramos17,MG and FJ and AKE ,DL and DB and IMC,,,,,,,,
2,prevey18,CC and DS and GL,MG and FJ and AKE ,,,,,,,flowering data so not included in main model,
2,vitra17,DL and DB and IMC,CC and DS and GL,,,,,,,,
