FirstAuthor,Year,Title,Journal,WhoAdded,WhoAssigned,TakeHome,RelevancetoOurPaper,AddNotes
Davies,2013,Phylogenetic conservatism in plant phenology,J Ecol,Nacho,Nacho,Flowering and leafout times show phylogenetic signal because responses to cues are phylogenetically conserved ,High - sets basis for our study,"They measure phylogenetic signal in timings, not responses"
Munguia-Rosas,2011,Meta-analysis of phenotypic selection on flowering phenology suggests that early flowering plants are favoured,Eco Letts,Nacho,Nacho,"Phylogenetic meta-analyses does not improve ordinary meta-analysis, but using phylogeny modifies the significance of predictors for flowering time",Mid-high - phylogenies may not matter in meta-analytic approaches,The authors do not directly test phylogenetic signal of phenology
Ackerly,2009,Conservatism and diversification of plant functional traits: Evolutionary rates versus phylogenetic signal,PNAS,Nacho,Nacho,Evolutionary rate and phylogenetic signal may be unrelated ,Low - perhaps to interpret final results,Should we plot traitgrams? So far we have not been thinking about diversificatioon at all.
Bolmgren & Cowan,2008,"Time - size tradeoffs: a phylogenetic comparative study of flowering time, plant height and seed mass in a north-temperate flora",Oikos,Nacho,Nacho,"Correlations between flowering phenology and functional traits (seed size, height) differ between perennial herbs and woody plants",Low - but old study accounting for phylogeny-phenology,
Kochmer & Handel,1986,Contraints and competition in the evolution of flowering phenology,EcoMonographs,Nacho,Nacho,Phylogenetic membership and life form strongly influence a species' flowering time,High - sets basis for our study,competition for pollination does not seem to push species' flowering times beyond seasonal boundaries
Willis,2008,Phylogenetic patterns of species loss in Thoreau's woods are driven by climate change,PNAS,Nacho,Nacho,flowering-time response traits are shared among closely related species.,High - supports importance of phylogeny to phenology,They conclude that the effects of climate change on biodiversity would be phylogenetically biased
Zohner,2017,"Spring predictability explains different leaf?out strategies in the woody floras of North America, Europe and East Asia",Eco Letts,Nacho,Nacho,"species from regions with high STV have higher winter chilling requirements, and, leaf out later than related species from regions with lower STV","Low-mid - we do not have data to test procedence, but something to perhaps discuss ",
Joly,2019,On the importance of accounting for intraspecific genomic relatedness in multi-species studies,MEE,Nacho,Lizzie,Methods paper showing how to include inter and intraspecific variation in ecological models with an example using the Flynn & Wolkovich data,"Low-mid: Limited species (10) but did find 0.7 for signal and does suggest intraspecific variation matters, so worth mentioning I think.",
Housworth,2004,The phylogenetic mixed model,Am Nat,Nacho,Lizzie,PMM is great and flexibl.,Methods,
Pau,2011,"Predictingæphenologyæby integrating ecology, evolution and climate science",GCB,Nacho,Lizzie,"Overview in regards to phylogeny: Lays out how phylogeny might matter in terms of predicting missing species, projecting forward for adaptive potential. Also, nicely outlines this "" Phylogenetic approaches can map both raw observational phenology data, such as flowering dates, as well as model estimates of how strongly species cue to different environmental variables such as temperature (Bolmgren & Cowan, 2008; Willis et al., 2008; Davis et al., 2010)."" Not sure if the rates are great (given the quality of our data, but as J says 'it's easy to do, so, you know, why not?' and the community assembly stuff (which doesn't apply here as we don't have community data) requires 'being sensible to the current literature.'",Mid-high: See section starting on 3636 for a nice overview,
