"stn"	"species"	"year"	"doy"
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 15    12"	"Fagus.sylvatica"	1996	322
