"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1956/1957",1957,2326,2679,139.010478474425,11.3498112011771
"1957/1958",1958,2575,2860,142.531859100761,10.1006602857016
"1958/1959",1959,2532,2598,133.44881633756,11.6804244013345
"1959/1960",1960,2352,2828,136.821220544025,11.2537088027582
"1960/1961",1961,2072,2264.5,125.407470345279,12.6030423052407
"1961/1962",1962,2427,2350,124.301408042447,10.9600942287559
"1962/1963",1963,1654,1791,108.414310013119,8.18533013983331
"1963/1964",1964,2324,2573,134.30027987336,9.98476516914952
"1964/1965",1965,2642,2736,139.024787781271,10.3890329207654
"1965/1966",1966,2460,2589,128.732248815427,11.5551413852669
"1966/1967",1967,2302,2600,129.991976042243,11.7324762869635
"1967/1968",1968,2462,2188,121.286987407661,11.2544834506283
"1968/1969",1969,2219,2295.5,127.814434066026,10.1508017940148
"1969/1970",1970,2411,2459.5,129.775860910894,9.62469331520821
"1970/1971",1971,2637,2604.5,129.62777194078,10.4462734855237
"1971/1972",1972,2672,2844,142.732821119113,11.1890139685235
"1972/1973",1973,2863,2785.5,140.319971009928,9.85436312139544
"1973/1974",1974,2955,3578,149.263281053006,11.6891508162338
"1974/1975",1975,3016,3324,148.268665790197,11.6666272318316
"1975/1976",1976,2550,2746,130.01236528004,10.5587792408263
"1976/1977",1977,2421,2795.5,135.345962793572,11.6994810046821
"1977/1978",1978,2455,2823.5,138.403515643533,11.4100942186976
"1978/1979",1979,2585,2878,135.20428138401,10.1035140592227
"1979/1980",1980,2515,2898.5,137.789776794615,11.5851172460549
"1980/1981",1981,2197,2189.5,125.253166761168,10.7417215921275
"1981/1982",1982,2395,2902.5,139.425863712343,10.198820660866
"1982/1983",1983,2165,2419,130.062695416968,12.1566743906895
"1983/1984",1984,2960,2912,138.064054342432,10.4693895714629
"1984/1985",1985,2105,2221,121.987805226843,10.1267923605892
"1985/1986",1986,2195,2662,129.092860836484,9.81575463169237
"1986/1987",1987,2102,2347.5,125.403720290137,10.4556602777667
"1987/1988",1988,2566,3090.5,143.171982606741,12.0069482225418
"1988/1989",1989,2216,2671,135.236525108264,12.3716743858839
"1989/1990",1990,2365,2702.5,133.728293210463,12.4743394779287
"1990/1991",1991,2226,2428,132.483932798637,11.5756130829225
"1991/1992",1992,2580,3150,141.922721348162,11.166995189673
"1992/1993",1993,2203,2475,132.213641775121,11.7216036456971
"1993/1994",1994,2070,2953.5,139.897765293005,11.8102593040928
"1994/1995",1995,2304,2501.5,125.654524997167,12.7397875852031
"1995/1996",1996,2367,2140,120.241970731591,10.5077698522951
"1996/1997",1997,2422,2708,135.550351016389,11.1526413942634
"1997/1998",1998,2005,2522.5,130.478116540395,12.2146225026018
"1998/1999",1999,2276,2788.5,133.424994022548,11.5944574221239
"1999/2000",2000,2121,2873,137.373122978637,12.1577932895926
"2000/2001",2001,2219,2496,130.802552587432,12.834315884977
"2001/2002",2002,1767,2718,135.981563467991,12.2542687281307
"2002/2003",2003,2391,2538,128.649667760397,11.8937970380747
"2003/2004",2004,2438,2461,129.932517458246,11.3587088004113
"2004/2005",2005,2207,2157.5,118.777125850222,10.9365800783381
"2005/2006",2006,2080,2036,122.174305576268,10.3342687710461
"2006/2007",2007,2409,2788.5,132.918746801664,14.0647403857767
"2007/2008",2008,2472,2803,141.176411624424,11.4386853244453
"2008/2009",2009,2159,2415.5,128.682450353641,10.9480187573277
"2009/2010",2010,2050,1978.5,116.786183588099,10.9420989461393
"2010/2011",2011,2283,2493.5,128.743049117806,11.3224762961277
"2011/2012",2012,2336,2816.5,137.619695910705,11.6226524564835
"2012/2013",2013,2328,2387,126.809579271242,10.7337734790976
"1950/1951",1951,2715,3249.5,144.539288238036,11.0282498876099
"1951/1952",1952,2602,2682.5,132.989804231457,11.1842956587698
"1952/1953",1953,2548,2413,123.016729659971,10.2960848096354
"1953/1954",1954,2172,2762,133.187164098725,10.197051792981
"1954/1955",1955,2390,2418.5,132.033021164193,10.4119338636497
"1955/1956",1956,2099,2472.5,125.35853620376,9.12469476583838
"1956/1957",1957,2148,2653.5,132.253547206665,11.3498112011771
"1957/1958",1958,2455,2839.5,140.397869700942,10.1006602857016
"1958/1959",1959,2420,2660,130.44591997163,11.6804244013345
"1959/1960",1960,2120,2790,130.801752921302,11.2537088027582
"1960/1961",1961,1888,2176.5,121.287622335662,12.6030423052407
"1961/1962",1962,2304,2475.5,126.240298144244,10.9600942287559
"1962/1963",1963,1632,1788,104.590462763345,8.18533013983331
"1963/1964",1964,2195,2612,131.76735662412,9.98476516914952
"1964/1965",1965,2559,2855,136.545386092338,10.3890329207654
"1965/1966",1966,2174,2575,126.18445475543,11.5551413852669
"1966/1967",1967,2203,2564.5,127.795129759968,11.7324762869635
"1967/1968",1968,2506,2347.5,122.59417758151,11.2544834506283
"1968/1969",1969,2197,2379,126.899023395056,10.1508017940148
"1969/1970",1970,2359,2550,129.246779852897,9.62469331520821
"1970/1971",1971,2396,2709.5,128.789268520206,10.4462734855237
"1971/1972",1972,2482,2949.5,140.990282424951,11.1890139685235
"1972/1973",1973,2815,3045,141.861396424909,9.85436312139544
"1973/1974",1974,2516,3505.5,146.103123270278,11.6891508162338
"1974/1975",1975,2712,3408.5,148.217065238197,11.6666272318316
"1975/1976",1976,2278,2779,131.486389544129,10.5587792408263
"1976/1977",1977,2183,2732.5,128.775646393,11.6994810046821
"1977/1978",1978,2344,2877.5,137.36039453161,11.4100942186976
"1978/1979",1979,2362,2938,134.614605825351,10.1035140592227
"1979/1980",1980,2388,2942,137.183882564661,11.5851172460549
"1980/1981",1981,2161,2282.5,120.668877486096,10.7417215921275
"1981/1982",1982,2166,2841,137.693689974029,10.198820660866
"1982/1983",1983,2064,2406.5,127.970723824716,12.1566743906895
"1983/1984",1984,2777,3086.5,136.110575279766,10.4693895714629
"1984/1985",1985,2051,2288.5,122.068194210808,10.1267923605892
"1985/1986",1986,2033,2593,127.563121168596,9.81575463169237
"1986/1987",1987,1994,2360.5,124.282701788622,10.4556602777667
"1987/1988",1988,2294,3046.5,139.945453698441,12.0069482225418
"1988/1989",1989,2037,2631,129.250981116191,12.3716743858839
"1989/1990",1990,2199,2660.5,132.245843722495,12.4743394779287
"1990/1991",1991,2131,2444,127.162345745007,11.5756130829225
"1991/1992",1992,2358,3097.5,142.328262040287,11.166995189673
"1992/1993",1993,2059,2434.5,127.498605923813,11.7216036456971
"1993/1994",1994,1818,2744,133.385439823116,11.8102593040928
"1994/1995",1995,2190,2495,125.836579858218,12.7397875852031
"1995/1996",1996,2406,2322.5,117.906551220328,10.5077698522951
"1996/1997",1997,2196,2712,131.248945748373,11.1526413942634
"1997/1998",1998,1892,2433,127.020969491443,12.2146225026018
"1998/1999",1999,2136,2703.5,130.305035658358,11.5944574221239
"1999/2000",2000,1870,2659,131.619371949682,12.1577932895926
"2000/2001",2001,2060,2431.5,123.189200161131,12.834315884977
"2001/2002",2002,1515,2437,129.27217688788,12.2542687281307
"2002/2003",2003,2253,2550.5,129.270208977594,11.8937970380747
"2003/2004",2004,2424,2534.5,127.242885238022,11.3587088004113
"2004/2005",2005,2145,2201.5,115.005687934536,10.9365800783381
"2005/2006",2006,2045,2035.5,116.345674508778,10.3342687710461
"2006/2007",2007,2122,2680.5,130.743949134199,14.0647403857767
"2007/2008",2008,2304,2823,138.219471996011,11.4386853244453
"2008/2009",2009,1995,2371.5,124.746544546367,10.9480187573277
