"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1954/1955",1955,2106,2091.5,125.847573948789,6.67082541200051
"1955/1956",1956,2384,2227,117.039004715433,5.65483564376271
"1956/1957",1957,2516,2583,131.896727910996,7.68801878549088
"1957/1958",1958,2796,2632.5,136.362883528959,6.36528296599973
"1958/1959",1959,2613,2344,130.345570648293,8.0582074564618
"1959/1960",1960,2506,2587.5,131.199113048618,7.32232386940225
"1960/1961",1961,2214,2130,116.50180945045,8.82867913735363
"1961/1962",1962,2393,2007.5,115.63477025672,6.96903295250487
"1962/1963",1963,1747,1863,109.777008831642,4.09304245075053
"1963/1964",1964,2367,2313,118.407597007036,6.24758210938704
"1964/1965",1965,2629,2419,130.522003978677,6.41886787046239
"1965/1966",1966,2533,2341.5,126.813101058643,7.98941028818822
"1966/1967",1967,2548,2360,126.394583983595,8.11903292680036
"1967/1968",1968,2315,1984.5,116.420942957653,7.81075108853199
"1968/1969",1969,2150,2070.5,118.899085393364,6.35349051343312
"1969/1970",1970,2368,2213,122.600246825785,5.94603769235172
"1970/1971",1971,2561,2391.5,127.784848095444,6.81308955976406
"1971/1972",1972,2595,2476,129.861119660328,7.60011729042312
"1972/1973",1973,2739,2218.5,130.138803333918,6.13853768804901
"1973/1974",1974,3456,3262.5,148.928943415105,7.86865557390617
"1974/1975",1975,3097,2921,139.588891942413,7.9152593464494
"1975/1976",1976,2579,2460,121.132690058454,6.74441308419749
"1976/1977",1977,2563,2570,133.534367847547,7.78433953805493
"1977/1978",1978,2502,2467,130.573087263658,7.38867916954014
"1978/1979",1979,2686,2579.5,137.289276666837,6.58448107430782
"1979/1980",1980,2667,2537,133.331730486914,7.57314546004008
"1980/1981",1981,2063,1962.5,118.583591590677,6.68445748716751
"1981/1982",1982,2609,2604.5,135.312086239778,6.19702825277938
"1982/1983",1983,2190,2302,127.331157382729,8.27910367793948
"1983/1984",1984,2667,2325,131.149814210186,6.26607976155574
"1984/1985",1985,2261,2025,117.489547308921,5.97646221997357
"1985/1986",1986,2484,2300,122.915562900393,6.02438674720426
"1986/1987",1987,2203,2237.5,120.967840470947,6.36672164521286
"1987/1988",1988,2874,2868,139.902098191187,8.18460084543402
"1988/1989",1989,2441,2589,131.09584358162,8.68700461221841
"1989/1990",1990,2449,2509.5,129.205262538447,8.40450461853278
"1990/1991",1991,2304,2292.5,125.553912727395,7.48575463906844
"1991/1992",1992,2894,2902,136.664429498637,7.25612668778328
"1992/1993",1993,2297,2366,125.213559017864,7.82452821640192
"1993/1994",1994,2479,3020,140.044380924322,8.36273575154186
"1994/1995",1995,2288,2233,121.417506708459,8.92865555021332
"1995/1996",1996,2088,1857.5,114.045613533613,6.69572763927631
"1996/1997",1997,2571,2466.5,129.814211689212,7.33278294437442
"1997/1998",1998,2202,2411.5,129.228173432019,8.42165084456463
"1998/1999",1999,2534,2531,135.905643684951,7.6778065215682
"1999/2000",2000,2540,2906.5,136.456946081342,8.39575107545623
"2000/2001",2001,2415,2398,129.542597969814,8.93594328589948
"2001/2002",2002,2372,2875.5,139.45647567958,8.40202820349379
"2002/2003",2003,2514,2227.5,128.583276263792,7.83183953699322
"2003/2004",2004,2359,2142.5,124.02807671217,7.37826283528806
"2004/2005",2005,2101,2051,119.052585074548,7.1846461552327
"2005/2006",2006,2120,2006.5,122.335180349857,6.44841975659431
"2006/2007",2007,2787,2725.5,129.293047784324,10.3365328772354
"2007/2008",2008,2624,2646.5,141.440513065974,8.08870882879803
"2008/2009",2009,2403,2278.5,121.437382357491,7.31910369939716
