"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1956/1957",1957,2430,3105.5,144.260558623819,12.0004008092768
"1957/1958",1958,2759,2871.5,140.902623759732,10.2447168862553
"1958/1959",1959,2341,2747,134.664836080496,11.7357074189668
"1959/1960",1960,2314,2980,142.385276745393,11.2862440132986
"1960/1961",1961,2323,2762.5,136.594867469743,12.2869809915505
"1961/1962",1962,2522,2724.5,133.706561967308,10.3701649966588
"1962/1963",1963,1513,2026,111.382969727421,7.74573109305534
"1963/1964",1964,2459,2735,136.761459178557,9.81431916356961
"1964/1965",1965,2923,2860,139.32732397375,10.02778292884
"1965/1966",1966,2382,2658.5,131.101018983333,10.1223583984241
"1966/1967",1967,2734,3253.5,144.396016354325,11.5366036498322
"1967/1968",1968,2573,2320,123.380499081955,10.8383097510103
"1968/1969",1969,2412,2198.5,122.286229937775,9.58028293884236
"1969/1970",1970,2362,2627.5,133.469738443915,8.94891502842623
"1970/1971",1971,2559,3068.5,141.230225042512,10.7404951770605
"1971/1972",1972,2946,3147.5,146.527586196444,10.9423238331924
"1972/1973",1973,3166,3469,150.496040617399,10.43587254236
"1973/1974",1974,2788,3801,159.019918067903,11.4714857267594
"1974/1975",1975,2855,3480,152.44647779335,11.8041743985685
"1975/1976",1976,2513,2727.5,134.607893828277,10.2348590602731
"1976/1977",1977,2570,3150.5,144.536612903901,11.2229008266553
"1977/1978",1978,2306,2765.5,138.233504915642,11.1429244133486
"1978/1979",1979,2481,2550.5,130.079316797346,9.17610841957448
"1979/1980",1980,2616,2878.5,138.778230770415,10.8517369807571
"1980/1981",1981,2364,2580,131.933164990577,10.8979480037299
"1981/1982",1982,2488,2947,141.977471191406,9.9810140619608
"1982/1983",1983,2298,2896,138.707304137284,11.9436319426212
"1983/1984",1984,2945,3048.5,141.770892629766,10.8505163235074
"1984/1985",1985,2161,2362,124.424598599382,10.0743631164781
"1985/1986",1986,2183,2702.5,130.020865065917,9.51266501582544
"1986/1987",1987,1953,2487,128.857326478336,10.2190093396601
"1987/1988",1988,2704,3514.5,152.384513364596,11.977394232592
"1988/1989",1989,2535,3156,145.339313540349,12.3548111787136
"1989/1990",1990,2338,3084,143.303312787031,12.8445281488997
"1990/1991",1991,2525,2865.5,138.496148700399,11.4670753494995
"1991/1992",1992,2734,3678.5,151.737942644531,11.5338731157449
"1992/1993",1993,2415,2748,137.144711385027,11.3270517677236
"1993/1994",1994,2356,3176,143.292872882444,10.9643395116799
"1994/1995",1995,2250,2700,130.853711212861,12.3210375945629
"1995/1996",1996,2186,2143,114.224486049165,9.43981212968698
"1996/1997",1997,2402,3092.5,144.186802795087,10.7908253646148
"1997/1998",1998,2097,3073.5,144.648035007152,12.4420045729911
"1998/1999",1999,2282,2954.5,138.542756431873,11.9508489235919
